Predicted Labels,Review
CG,"Was a little doubtful while purchasing since i was not sure to receive a genuine Apple iPhone but received absolutely a genuine one. Working perfectly till date. The only thing I don’t like about this iPhone is that it takes a lot of time for charging. But its okay, it’s manageable."
CG,It’s Apple and behaves like one! It’s slightly on a heavier side and a bit too big considering it’s 6.1 inches.
OR,I have moved from 5S to XR -and it is a mind blowing experience.
CG,Battery life is okay camera is awesome everything
CG,"After Apple reduced its price, iPhone XR did become affordable when considering its features. What I received was how it was described on Amazon."
CG,Reviewing after one month of use.
CG,"Good battery life, amazing sound quality and camera is very good. Really love my first apple product."
CG,They have no fingerprints but face unlock is not compare to other its awesome battery is very very good and camera is best and iPhone is the iPhone not compare to other brand and most best thing is it is duel sim wow.......only not giving fast charging adaptor supported but u have to pay extra
CG,I was first hesitant about buying iphone xr after all the negative review....it has been 10 days and it is really a wonderful product.i got this deal for 38999 from amazon.
OR,Not charging fast as intended and battery discharges too quick. Needs replacement. Quick guide please. Phone stuck in between use of apps. Contact @8249530210/7873655744
CG,The phone freezes frequently. Battery doesn’t last long. On the whole I am very disappointed with the  phone. Did not expect this from Apple.
OR,Excellent Model with extraordinary deal during the festival season. I love Apple products and this is no difference. Quality of Photos is awesome. Battery life is better but i still feel can be improved. However for my usage it is ok.
OR,"I shifted from android to this iphone , it really worth with all new amazing and premium experience . The battery life is far better than my expectations from iphones . I got this phone for 43k and I feel it’s absolute value for money."
OR,"Excellent sound quality...& that’s no one device is beat in this quality,Immersive display & awesome  performance .."
OR,I find display issue with my iPhone after a month now. I see thin black line from top to bottom just an inch from left side. Battery adapter is also not working properly. I am also unable to access amazon customer care also
OR,Great battery life’s buttery smooth transitions/animations so so refined compared to an Android phone .Face recognition is a bit glitchy though my daughter can trigger it for my wife’s login
OR,"I dont know how to explain it, but no need for any review... Just one word.. Apple... Go for it... Its worth your money.."
CG,The product is a masterpiece but the box corner was damaged like the box was undergone ruff conditions
CG,This is my second purchase of I phone through amazon I am happy and satisfied with the product....thanks to amazon ...keep it up
OR,The most unique feature of this product - face id for unlock is not working in the product delivered to me. Now i have to keep visiting the apple service centre to get it fixed.
OR,I have got the delivery of iphone xr yesterday and I have found that there is a spot near the front camera. Can anyone or the apple customer service tell me why it is like that?
OR,"I’m an Apple fan, because of its simplicity, elegance & good camera. In addition, this phone has a longer battery life, even with good internet use. May be the price could be little more competitive, but all in all, a nice phone."
CG,Excellence phone. Every thing this fine.
CG,iPhone XR camera is better than OnePlus 7T...XR beat OP 7T... Excellent Phone...
CG,I like the phone very much. A great product from Apple.  Very happy that i bought this product in a discount. Worth every penny. The  photo quality is amazing.  The re-charging time is so less.
CG,Marvelous phone came with the proper packagee and proper secure coding from Amazon. Thank you Amazon for such an organised delivery
OR,I received the product with hair line scratch on the screen which does not appear at a glance but upon reflection of light on a specific angle it appears.  During delivery I could not detect it but after few days I recognized. From Apple I do not expect any cheating on product quality
OR,iPhone is always master in mobiles. It’s really amazing. Thanks amazon for best discounted price
CG,Day one is good with XR. Will have to use for some more days before conclusions. Battery life is impressive. Feels good to handle. Seems to slip out of hard sometimes.
OR,Face ID is not good..works sometime..sometime forces to use passcode to unlock..default keyboard layout does not have dot key..while editing text it is hard to place the cursor at a desired place in between a word..hey Apple get some update about these in if next update..
CG,Amazing product as can be expected from Apple. Super camera. Super battery life. Super display.
OR,Amazing iphone XR experience ..you dont need iphone X or iphone Xs or iphone11pro the perfect iphone for any one who loves Apple brand ...go for iphone Xr or iphone11 both are just fabulous
OR,Amazing piece of art and technology from apple. Buy this beast especially if u r getting it below 40K. As far as the delivery experience is concerned it was not good and smooth at all due to delays and poor packaging from Amazon. Thumbs up for XR only not Amazon delivery experience.
OR,"Amazing phone, the xs and xs max are way better but the price of this phone is the real winner. I got the fast charger and some new BT earphones woth the difference. Overall being my 1st iphone, it is really amazing"
CG,My 4th I phone
OR,Just received the product! Feeling excited! Detailed review will be coming after a month. Delivery was awesome placed the order by yesterday evening received at today noon! The package was damage free . Let’s see the future performance
CG,The overall look and usage is good but the time it takes to charge is nearly 3 hrs from nill to full.Considering to backside design its little coddy when compared to x .Definitely but u feel very much premium when using this the white is astonishing like sny thing worth for money.
CG,Looks good and also working great. The disappointed thing is while I was purchasing there is a screen replacement warranty but now it is not there.
OR,My first iphone..there are some problems switching the os but I’m so far happy with this change.though battery life is just okay with a mediocre and cheap charger.
CG,This a big daddy for all other branded phones ...I upgraded from 6s to this model..really a good decision i think .but one thing it’s looks very big in hand ..you have to spent some time with that.
CG,Best iphone in this price range
OR,"1 month review. : Best deal from amazon under 55k for 128 GB , Excellent battery life almost used upto 2.5 Days with 4G Data enabled ,No face lock issues , Camera Quality is good but portrait feature works only with human face detection ,Red colour is very attractive"
CG,its for my wife . shez coming from iphone 6s to this one . so its a upgrade for her . all in all a great phone .
CG,"The phone I received is not starting at all and I can’t see the option to replace, this is cheaty"
CG,Nice phone in a great price deal...
CG,Best budget iphone currently. Got it for 40k(128 gb model) in amazon sale.
CG,Great phone from the greatest minds
CG,This is a very good product.You should buy it without any hesitation.Go for it.Battery of this Iphone XR is very good.It lasts upto 12-13 hours with light use.Face recognition is also excellent.This phone is very smooth to use and you will definitely love using it.
CG,good because
CG,phone is just awesome. Battery backup n camera is also good. But the phone is not slim like 6S or X/XS.
CG,A very good phone. Camera & facial recognition is just next level. Njoying it throughout!
OR,Best ever apple phone for value for money. Nothing to say. Amazing discount by amazon and delivery is also before time. Satisfied.
CG,Proximity sensor not working. Not able to make calls as all apps keep openig wbile making a call
CG,"Like: Display, Sound, Battery"
OR,Yesterday i got these Xr after a week at 52k best offer the best thing about Xr is battery life is good compare to other iPhones Xr is powerhouse games like pubg we can play in HD smoothly no heat no lag good camera not best i’m satisfied no issues genuine product from amazon
CG,"What a great phone!! Battery life is amazing, navigation is as usual the iPhone mark... overall an excellent experience."
CG,Apple is one of the addictions which never go once you use I use 7 and now xr to my sister absolutely beautifully crafted device and excellent camera phone.👍
CG,"Loving this phone. Everything about this phone like speed, performance, camera, its amazing."
CG,Best for rs. 46200
CG,Very good performance. And very good cameras .. water resistant and wireless charging makes this phone complete
CG,The quality of apple is fab u can’t match with any Android smartphone...tried several smartphone but nun has given me this kind of superb experience..
CG,The only 1 issue I actually faced is the mic is in very wrong place if i am driving it is very critical to answer inside the helmet as the mic is in back side of the phone. Rest all the awesome
CG,It’s been two weeks using the phone and I don’t regret buying this... too good camera quality and battery back up... good enough storage... loved it!!!
CG,Everything is good so far!
CG,"pH is dead, not responding. Defective product. And no option to return."
CG,Excellent phone with an excellent camera & fantastic battery life; dual sim (second one is e-sim) option is quite practical. Camera quality is excellent with portrait mode. iOS is as usual superb & user friendly with excellent performance.
CG,We don't see much update on this version however we see that phone is as always amazing with the performance.
CG,Everything is excellent ... if u want to buy then surely go for it.. (in short paisa vasul kaam)
OR,"First time apple user... but to be honest... apple is amazing from the all aspects.. camera, sound , battery , display , lagging issues everything is far better than android mobile....it’s 12 mp camera looks like 48 mp of an android mbl...! Quality differs from others !!!!"
OR,Iphone is the best. Prompt delivery from Amazon. Two camera could have been even better
CG,"Good product, great experience!"
OR,When I switched on it started getting heated up near camera.  Mix of gold and yellow is bit ugly. My other side of speaker isn’t working. Selfie portrait is good rest is not much appreciable.
CG,"Superb it is. It does not require any review. Large screen, superb quality, 128 GB memory and what else you want"
OR,"iPhone XR is the current rightly priced phone from Apple. It is a good product . This phone does not have fingerprint unlock security, only face recognition is present."
OR,"Perfect phone for Apple lovers, camera and built quality of this phone is amazing. It’s around 6 months when I purchased this phone, everything works like a charm, there are lot of hidden features that I still don’t know about this phone."
OR,Reason for 4 star as the earphone given as part of this purchase are not up to the mark and when I take call using earphone people complaint about sound is not proper and sound come good when I remove the earphone while talking on phone.
OR,I had bad experience from Amazon within 2 days my phone having charging issue and I didn't get any response from Amazon.
OR,"I have upgraded from iPhone 7. Face recognition excellent, Camera Good with portrait photography. Battery life... Very good. Bit heavier, but comfortable!"
CG,Amazon did the delivery a little bit late. But the phone is awsome.
CG,"Very nice phone, very fluid interface, face recognition is really very good but I think Apple should bring back the fingerprint scanner and that Apple specific home button."
OR,"I got this during festival sale at Rs 45000 and I am really enjoying this phone. Performance, camera, sound, display everything is top standard and no smartphone can match this at this price. Love this ❤️❤️"
OR,Phone is not working properly and they are not replacing my product and the product was in replacement warranty.  Please do not buy from Amazon because if there will be any problem under 10 days they will not replace the phone. They will just give the customer care no.
OR,Lot of software issues in it. Specially your contact names will not displayed on screen when you receive the call from one of your stored contact person. Raised the issue multiple times but very poor performance from Apple. Don't buy this model.
CG,"People spoke have criticised about the iPhone XR's screen, compared to xs I found this screen is more colour accurate,"
OR,My new XR PHONE  is GETTING HUNG frequently When I shuffle around the apps. I don’t have much apps active though I moved apps from my iCloud. Even few apps get struck and couldnot do any actions. I haven’t seen in my 6S though the issue.
OR,"Using it since 15 days and till now could not find anything disappointing with this phone. Battery running for about 2 days!, Camera is single lens but clicks very good, Speed and screen all is perfect. Upgraded myself from Iphone 6s."
CG,Awesome experience with IPhone XR red Color
CG,There are some problems with the iPhone xr I bought 15 days ago.
CG,"Most affordable iphone really proves when it comes to photography, performance and off-course Battery backup. Having been with it for almost 2 months it has clicked most of the boxes urban smartphone should offer."
CG,Only complaint that face reader is not as great as fingerprint reader in older version of iphone.
CG,iPhone XR simple superb.
OR,"Awesome phone, good battery life, awesome camera... 4k recording and i have started vlogging channel in YouTube with xr only,,, shooting, editing and uploading all in one.. awesome performance."
CG,What I really admire about this piece is 2 things:
CG,The product I received is value for money. Battery life is pretty much cool. Loved the system performance. Worth buying.
CG,I ordered the phone on August 8 2019 and it was delivered to me on August 14 2019 and it’s been 7 months and now my phone is fully dead and is not working at all.
CG,"I have only used the phone for couple of days now, but it looks really good. Amazon did a good job in timely delivery. Probably the phone is very good so far, and I am in no position to give a proper feedback unless have used it for a while."
CG,Best if u don’t want to see annoying ads in ur feed
CG,"Great product, a good upgrade from iPhone 6s, large screen, fast, water resistant, great camera, and looks good too"
OR,"Original Product ☺️, still remember while opening the packet please make a short video of what you received."
CG,Superb phone. Wish they could match the battery life with what other manufacturers are offering at one third the price
CG,Apple may release the dual sim slots for India. It may increase the sale and customer also i think.
CG,Defective piece
OR,"This is awesome product as usual. Didn’t regret but buy this. Must go for it. Only thing, this is a bit bigger phone for single hand user."
OR,"Great phone with good fingerprint reader, camera quality and long lasting battery life !"
CG,As always grt
CG,"Nice product, looks good"
CG,Awesome mobile..
CG,Very bad experience with the iPhone XR
CG,"Battery life is good but the problem is with the phone heating very quickly. Even redmi's who are known for getting heated quickly, get less heated as compared to iPhone Xr. I steal one star for it."
CG,"iPhone XR is really one of the best Apple Products I’ve ever used! I’ve had used iPhones in the past but nothing matches XR’s feel and optimisation. Not only does it look good, but also performs superbly well. Much recommended."
CG,The features of the phone are very good. Camera and the operating system.
CG,"Anyone here to compare this with android. Please keep in my, comparison happens between apple to apple and not apple with oranges."
OR,1. I have purchased iPhone XR 64 GB .All are features seems good as per expectation but I got newt work issue in this phone .
OR,"Hanging issue, network dropping issue needed restart to get network again. Face detection is also very disappointed, please never waste your money with this product."
CG,Nice phone in all respect.
CG,"Just go for it, try buying the 128GB or 256GB model if you are planning to record your game clips ... because 30mins of screen recording costs 4GB memory ...."
CG,Best phone for the best price. Purchased at prime sale for 40k. Best iPhone ever for this budget.
CG,"Worth the money, performance is good even with 3gb memory.  Apps are pretty fast."
CG,"It’s a good phone obviously, It doesn’t have any defects, delivery was smooth and non-problematic, phone works great, best camera ever, overall, I’m happy with my purchase"
CG,The Iphone has been stuck on set up page after i tried restoring it.
OR,I heard many people fear to use Apple phones as its os is slightly difficult to use. But I feel that once we are familiar with it then it is very easy to use compared with android phones. The build quality is superb. Also the camera is fantastic.
CG,Good phone. I been an iphone user for the design simplicity. This is a good phone. One does not need a pro version. This is a champ
CG,"Have bought this iPhone after iPhones 6.im pretty happy with the device,battery is too good,camera is great,Performance is swift no lags till now played hefty games like pubg  and asphalt 8 on this phone no lags were found at all.overall an excellent device"
CG,I bought this phone last week and in one week charger started misbehaving. Sometimes charger got disconnected and sometimes phone is not getting charged .
CG,"I purchased it from Appario pvt ltd. And they sent me a genuine, brand new iPhone XR so 5 stars."
OR,"Best budget phone by apple,cant believe the overall performance and the tremendous display quality, who says the display is not good, obviously its not good it’s excellent. And thanks to Amazon for providing me the phone within 12hrs."
CG,I already have Google Pixel 2XL. I can proudly say that iphone XR can not match the camera quality of Pixel.
CG,good so far it s been a week battery is good .... not fond of clicking pics so cant say but clicked few theay are good
OR,Great device. Battery easily last for a day. Amazing Camera. Got it for 40k and at this price there can't be any better device.
CG,"I upgraded from iPhone 5s to iPhone XR and I’m not regretting at all. Battery capacity, camera, speed, everything seems perfect for me. Your budget is not enough to buy iPhone 11, max or max pro then definitely you can go for this. You will not regret it."
CG,Really great product by apple just love the beast inside this machine... charging is quite good. And mostly pubg is super smooth and everything is great really a beast by apple
OR,One month of usage and the phone is dead ! Tried all solutions suggested by apple but no signs of recovery. Next option is to take it to service center.
CG,iPhone XR one of the best mobile and os
CG,Finger print reading and camera quality is good. Apple is the best.
CG,"iPhone XR 64gb is best buy even in 2019. I bought it during festive sale at 37,999/-"
OR, I am happy to buy this amazing phone from Amazon’s thanks .... it’s original phone ....love this camera .each and every thing in box charger headphones manuals books...seal box Recived.
CG,Best in the Class...
OR,"Awesome battery life, magnificent design, camera quality 10/10, fully satisfied, worth of every penny. Buy it with blind eyes."
CG,"If you want a new phone, just go for the Xr because it’s price is pretty reasonable and also it has a very good battery life. I am very happy with it"
CG,Speaker not working one side when I get calls sound very lowwww
CG,Value for money phone . bought at 39999. perfect . absolutely perfect .
CG,"Good one, very nice product, no complaints till date camera is good, super battery life loved the product, red colour is awesome"
OR,"It's a genuine product, verified on apple's website. Everything is working as expected"
CG,Everything was just perfect.
OR,Within a week the ringer volume varies and the  WiFi signal is very weak when compared to other iphones.
CG,"Camara quality is good , Face ID works well."
CG,Everything good you expect of an iPhone
CG,Super phone ... great product and thanks to amazon for the great price
OR,Man the battery life increment from iPhone 7 was mind blowing.. screen is not a problem unless u have used a 1080p oled screen.
CG,Perfect phone at perfect price. Most liked Apple phone with dual sim.
CG,Amazon price of this phone is lowest. 43000 Rs.
CG,Best phone with best display battery camera is excellent everything is best
OR,"Total fraud gone with me , initially face sacnner was good but now a days after one month it’s not working properly n problem of going phone hang is obvious n regular, total disappointed from this phone n if this happens further i m gonna sue them"
OR,@AmazonIndia It has almost been three months since I bought this phone and am now facing a problem with its left audio speaker which has completely stopped working. Only the right audio speaker is functioning.  Kindly assist.
OR,A hair line crack which could only be detected by the shop keeper who was applying the screen guard . A very fine crack which was missed
CG,"Product arrived good,got it at Rs 38000 at amazon sale.Thanks Amazon"
CG,Good phone.  Not aware it has finger print reader
OR,"Apple iPhone xR, I think this product don’t need any recommendations, only my review for amazon sale. I bought this at never before price 37999/-"
CG,"Only cons are overall little bezel around the screen as compare to XS version. Battery lasts for a day on normal use including music, chatting and social media use."
CG,Good delivery from amazon
CG,This is an awesome product by Apple.
CG,"Awesome product, Worth buying if in budget"
CG,One of the best iphone I have ever used.  battery life very good.Camera quality has no match when it comes to shooting videos from XR.
CG,Amazon service is good.
OR,Best phone so far. Battery backup is unexpectedly huge
CG,Speaker of this phone is cracked while I received this product
OR,Nice camera and superb battery life compared to previous models of iPhone. Very happy with my iPhone XR red.
CG,Awesome phone and apple tag it self looks so premium in hands and face lock works superb overall happy to buy this phone instead of one plus 7
OR,"Got the phone for Rs 53,250 in the prime day sale. Used it for 5 days and it’s the usual apple experience. Good picture, touch and camera quality is excellent considering it has a single camera. It’s a bargain at this price bracket."
OR,"So lets face the truth, everyone thought that its a flop iphone from apple. But it turn out to be great. The LCD screen everyone was talking about is not that bad, you won’t even find any difference."
OR,It is little on heavy and bulky side coming out of apple but given the price range it’s a good buy
OR,As apple kept the price it is worth it for a first time Apple user but for old apple users the xr is not that great Apple it has thick bezzel and its quite heavy too what its good at it is the colour options and camera quality and the chip it provides.
CG,Charging pin problem
CG,Very happy with performance especially sound and picture quality
CG, bad product
CG,Camera unable to use any external links in this article but it should be mentioned in this discussion on the web very disappointing.
CG,I received an old phone. It already had pictures clicked.
CG,I love it
CG,Battery issue is problem discharge very fast and take time to charge almost 03 hrs.
CG,"Dude,, this phone is a beast..u will love this phone"
OR,"My first iPhone. Awesome phone. Rich User experience, speed, battery, camera, looks excellent. Smooth, fast (no lags). Good build quality, best lcd display ( not to compare with sAmoled screen) 5out of 5. Must buy. Amazons quality product."
CG,This phone is kind of the best iPhone in terms of value of money. The only thing you will miss is the oled display which is on the expensive iPhones but only when you compare them side by side. Got the 128gb @50k so pretty good.
CG,"It's awesome iPhone. Loaded with a pack of features. Face ID and Memoji is super, Thanks Amazon and Also to Apple."
CG,Facetime didn't work.Air Drop fails too. camera quality is as like my earlier IPHONE 6. Battery performance is excellent.
CG,I have moved from iPhone 6 to XR
CG,"Quiet good but little bit of scratches only on outer cover. An improved product by Apple, appreciative. Powerful battery and camera is supremely good, suggest you to have another wireless charger, rather than fabulous product."
CG,loved it. i live with it. very durable battery. good picture quality.
CG,Best Budget iphone. Got
OR,"The right buy at the right price. The battery is holds up well. Rest is as described by lot of reviewers, it's an easy to use and maintain iPhone. Apt pricing. Good for designers & developers who need a test device."
CG,Fasted delivery
CG,"Camera is good ,"
CG,"First of all apple product is genuine product no lacking , but however battery charging is too low compared with new edition with android phone vocc charge and dash charge at least apple should have fast charging Technelogies"
OR,Video not working. Out voice we can't hear. Amazon is giving worst products to customers. I am going to file a case with the proofs
CG,It has been a week since I started using it and as of now thoroughly enjoying it.
CG,awsm camera n good performance
OR,This is my first iPhone. Great experience. Bought @43k price in sale in 22 January 2020. Great design 👌. From photos I thought that there will be airpods with it but actually it's earphone 😂. But phone is awesome.Best phone for 2020.
OR,U said it is a water resistant product but when I was answering my calls the front speaker was not working properly and I could not hear the speaker. This was my main issue and other was that constantly my phone was lagging in between.
OR,Everthing about this phone is good except the back glass which is not durable.the backglass shattered into  pieces from simple fall in the car and apple asking to phone for whopping 53000 to change thephone my phone is just 20 days old
OR,"A beast , thank u Amazon for quick delivery,  definitely a worth it phone apple has manufactured  . Always a Apple lover .."
CG,Very happy with my decision! This phone is amazing and the blue colour is very cute and unique being an iPhone. The battery life is better then the other iPhones that I have used and you will fall in love with the camera!!
CG,Moved fro iPhone 5s and xr is simply superb.
OR,"Good mobile , but bezels screwed me , battery life is decent , please skip this and buy iPhone X , a waaaay better than any other devices , it is nice , compact , premium feel, Xr doesn’t gave me such a good feel"
CG,iPhone doesn't need any reviews.its always best and better that iPhone X
CG,If you have a budget of 45k you should definitely go for iPhone Xr it has super powerful chipset and no matter what you do you cannot use it to it's full potential it is buttery smooth and super reliable with great battery life
CG,Mobile of d year... truly fast... great camera.... good price 38k thanks to amazon...
CG,Touch Screen response slow.dificult to close running apps.
CG,"Sound not working, buy from another seller"
CG,It’s a higher end mobile so the screen guard should be provided with this packing it can work to make customer Happy.
CG,There was a line in the display.
OR,Does not support dual physical sim . Screen size is smaller. Does not allow google . All downloads are paid downloads.  All songs storage is through I tunes application which also comes at a cost. Lot of drawbacks for a normal user and not user friendly.
CG,Leaving all other iPhone advantages over android i mention the pros and cons of this device.
OR,Phone hanging issue observed. Application closing swipe up action hangs the screen and does not allow to close the application. After restart phone works well. This is intermittent.
CG,A good phone especially for camera quality. And lives upto all I phone users expectations. Although not very user friendly for non iOS or android users. The colours it comes in are genuinely awesome.
OR,"Earlier i was having Apple Product which i bought it from Dubai, and now i am using XR which i bought it online, and this really sucks. The earphone quality is not the one apple used to have, Zero Noise Cancellation, zero Quality."
CG,Mobile has some defect. Gets struck some time.
CG,"Awestrucked with this I phone.. one of the best i phone i have used.. i have 4S, 6S and 7."
CG,I experienced trouble while using the phone for calls. I could not hear most of the time or the receiver could not hear. call fails in between abruptly.  This is very annoying phone. I wish I had returned it.
CG,It’s an awesome phone with some great inbuilt features...don’t worry about the display it won’t disappoint you at all
CG,Don't think much if ur dual sim lover than go with iPhone xr
CG,This mobile is gud but fast charging is not available it will take 5 to 6 hours to charge fully
CG,I have a doubt it is an old one
CG,"Amazing received original I phone XR , rear camera performance is God leval when front camera quality is not good"
CG,Good looking phone at g8 price 37999
CG,it fulfills more than my expectations an ofcourse the brand is enough to justify the value of product
CG,Good one every thing is superb I love this phon very much and now m going to buy laptop also please do quite low price macbook because I have to buy please do some less price macbook because I have to buy after luckdoun please please
OR,You will never get service for this brand. iPhone service center not taking there product.
CG,Good battery.packing is very poor.iphone cover is good.so my phone is not damaged.
OR,"I have been using this phone for the last 4 months and it’s working fine, And the best part about this phone is its battery. Now the price of this phone has decreased alot one can definitely buy this phone"
OR,"Nothing great about the phone, would prefer oneplus 7 pro version."
CG,Every feature is quite impressive but the camera quality should be slight higher its not up to the mark as shown in advertisement..
OR,My phone stop working after 3 days...I hv to rush to apple store ...thank god I got my ph replace..I really got worried as it was new phone ..but won't purchase phone again online will purchase directly from store..
CG,"As usual, Apple product when compared to other mobile phones in similar category are priced higher .. but I like the improvements in battery when compared with previous iPhones"
CG,Good product. Loved by my husband as a birthday gift .
CG,I didn't get a warranty paper in any form along with this product. The product seems to be in perfect condition though.
CG,Its very bulky and photo quality is not good.
CG,Great look coral colour
OR,One of the best purchase from Amazon. Packing and Delivery is good uncomparable. The phone and it's performance are satisfying. 12 days usage of the phone left me without a complaint. I give 5 🌟 to this purchase.
CG,I’m mad about I phone forever and ever no words to define
OR,This iphone is my second iphone followed by iphone 5s and battery of this phone great which provide at leat 1.5 days backup. iPhone xr is great phone
OR,Just go for it. Everything was known. If your budget permit go for it. All apple product..only budget is issue.
CG,"Display quality is fantastic, face recognition has some lag issues"
CG,Awesome phone got it at a Very good price during the Prime Sales
CG,The weight of phone is too heavy... Although the video recording is awesome the Photos quality simply doesn't justify it's price...
CG,"Just the best smartphone in this segment. Absolutely love it. The quality, the software, the camera, the face id, the battery and everything."
CG,FaceID & handsfree is not up-to the mark.
OR,Battery is draining like anything please help. Is it a genuine product. Amazon please help as i heard the batter suppoy is good but in this product batter is worst.
CG,it's iPhone !!! What else????
CG,Ringer voice is very slow what is the issue
CG,I don’t think any phone comparable in this range.
OR,The phone is amazing but i got cheated as i was promised the EMI of 4040 per month for 12 months. The sum of rs 4275 got deducted from my account. This is seriously not fare as i m paying almost 1500 rs more for my phone.
OR,"Awesome phone. Very good battery backup. Fingerprint scanner not available. Lightening fast Face ID. Call quality is awesome. While transferring data from android to iOS, WhatsApp chat data won’t be transferred."
CG,"Got it at 43k during sale, and you can get it for 45k during normal days. This price cut is because it is being assembled in India. It is a great value for your money at that price."
CG,Best iPhone xr but it's a bit weight and good performance but heating.. bought it for 38k
CG,"I upgraded from iphone 5 to Xr, and there is a huge difference in battery. According to my mobile usage, I used to charge iPhone 5 thrice a day and Now, I charge my Xr once in 3 days. The difference is immense."
CG,"Got at ₹36,999.00/- on 28.09.2019"
CG,"The phone is good, the only problem that I'm facing is that the phone keeps freezing for few minutes since the new iPhones have launched."
CG,Service is very good by Amazon.
CG,5 star
CG,Good quality as the name says “Apple”. But price dropped down after my purchase. I wish to buy IPhone 11
CG,good phone
OR,"This seller is not reliable, the brand new sealed phone did not work and had to be in the service center for a week. Do not recommend Appiaparo. Also, this was not the first time that there product was faulty"
OR,"Every 1 knows wats the quality of Apple is, no reviews are required. Best of Apple make till know."
CG,I really like the phone its awesome i upgraded my 6s to Xr i am really happy with the performance
OR,"Whenever we try to call any person, the opposite person cannot hear anything. We went to apptronic service centre , which was of no use. We have paid rs.42000/- for Iphone XR but not able to use it. We need replacement"
OR,The product is amazing with its features. The battery performance is  remarkable.The response for the Face ID is also Awesome.The only Con is that it’s Slightly heavy.the overall price has also gone down considerably.
CG,"Battery life has a problem, also gets hang sometimes."
OR,"Product was good, but got a defect in camera lens. Even though i got camera replaced from a planet care store, but still i never expected this from an apple product. This was my first apple product & probably my last."
CG,Appearance  is Very Good
OR,Amazing phone which has almost all the features of iphone Xs. Amazing camera and battery life
CG,Awesome product...nothing can beat iPhone...excellent Nd full security...
CG,Great product. Battery easily lasts more than a day and very good camera.
CG,Iphone XR is one of the best phone. Camera Quality is awesome . Got this Phone  at approx 40K.
CG,"It’s worst mobile, this is not value of money, iOS is not friendly user,worst battery life, oneplus is better than iPhone"
OR,"Display quality is not as per standered  as apple , when i use this fone  , i could have feel stress in my eyes  ."
CG,Using this for more than 2 months. The phone is awesome. Camera quality is really good. This phone is the strongest iPhone. It has the best battery. It lasts for one day in normal usage.
CG,An amazing phone by apple for an affordable price
CG,I am not satisfied.
CG,Screen touch for select any app is very poor &
CG,Iphone xr stopped working automaticallyq without any reason and is not working fine.My suggestion is not to buy from here
CG,This is the most worth iPhone now ! It finest have 3D Touch but it is amazing ! And camera is just wow and always the same iOS smoothness
CG,Superb performance
CG,A great leap for me from 5s to XR. I am enjoying this smashing experience. Loving each and every bit of this marvel.
CG,Speaker stopped working within 4 days of use !!!
OR,Everything is good but the battery dies too fast. Maybe they meant to say lowest battery life in their ad but mistakenly wrote highest. Anyway the software is no doubt amazing.
OR,"First time coming to iOS from Android, always used to hear why people praise so much to the iOS. It definitely meet the expectations, so far so good. Smooth UI, Nice Camera and crazy battery performance. Thanks Amazon. :)"
CG,Apple announced one year free subscription of Apple TV plus when an apple product is purchased. How can I get this ?
CG,Camera is really pathetic. Just usual mobiles costing less than 10000 are far better in taking pictures.
CG,"Phone is amazing,  amazon delivery is not notch,  received it next day.  Overall amazing phone"
CG,It's iPhone... I feel better than 11 I feel.
CG,"The phone is good so far.... initially had trouble with the ear piece while calling, it's working fine now after removal of its plastic cover... phone is classy. Features are great, feels premium in hand .."
CG,Nothing can be luxurious than this at the time when you hold the piece you will feel like out of the crowd and join elite legacy
CG,"speaker is not working properly, and getting extra noise while listening to the voice from other side."
CG," Such a worst product , don't buy , all time hang, I'm despointed to iPhone xr"
CG,Love the phone. I wasn’t sure about the size of the phone. But once I started using it I think the size is perfect. It was a bit heavier than expected but the built is amazing. Overall is a terrific buy.
CG,"Wonderful, Classic One !"
OR,"I used to be fan of I phone 3Gs mobile, I am getting same Feelings with this mobile, camera quality much much better compare to any otgers, U want to buy it, just grab it,"
CG,Good but I think iphone se camera is far better.overall good device.battery backup is awesome
CG,"It’s a Face ID in this phone and not fingerprint, best deal and there is no need to add dedicated review as it’s a apple phone :) as usual never disappointed with apple phone"
OR,"Perfect product in the price range of 40k. It includes good camera, wonderful operating system, nice touch screen and product design. Only problem you may face is with battery backup."
CG,Got it for best price! iPhone is love. <3 <3
CG,The charger provided with this product Stops working suddenly and it’s only been 4 days that I received the product kindly get a replacement for the charger
OR,"Really awesome device. Have been using for about 2-3 months... secure, fast, and really user engaging. Yes, price is always a issue with apple devices but their devices make every penny worth it... at least this one does✌️"
CG,Best buy
OR,This phone iPhone XR is the best value for money it’s as hard as a metallic brick Feels solid elegant in your hand especially the red product I am totally happy with the device and would recommend it thanks Apple
OR,I was very happy with this phone. This battery had very long durability.Value for price. The quality of picture is very good it had 4K video up to 60fps . It is very good phone for those people who want an iPhone
CG,"It is one of the affordable iPhones. Speed and quality is same as XS, a little difference with regards to 3D Touch and camera."
OR,"Face id unlock is awesome, battery backup is best of all iphones. Touch is butter smooth. U have to go by IOS user interface not like android UI this is the only con."
CG,Best cam
CG,Obviously it’s an awesome product
CG,I had this phone XR on deal 128gb n m happy now to have this AMAZON giving original Apple products thats what we want
OR,Got it during Festival sale with good discount from amazon India . Best iphone till date on every specs  with butter smooth ios and camera quality also looks good. Overall it's a good performing iPhone .
CG,have ot for now 2 months and exceeds expectation
